# 15762
# 15711
# First number is number of lines in the file 
# Second number is the number of reactions
    1 H            GRAIN        H(gr)        GRAIN                                    3.14e-10  1.01E+00  1.00e+00  20
    2 E            GRAIN0       GRAIN-                                                3.23e-03  5.00e-01  0.00e+00   0
    3 C+           GRAIN-       C            GRAIN0                                   3.14e-10  1.20E+01  1.00e+00  23
    4 Fe+          GRAIN-       Fe           GRAIN0                                   3.14e-10  5.58E+01  1.00e+00  23
    5 H+           GRAIN-       H            GRAIN0                                   3.14e-10  1.01E+00  1.00e+00  23
    6 D+           GRAIN-       D            GRAIN0                                   3.14e-10  2.00E+00  1.00e+00  23
    7 He+          GRAIN-       He           GRAIN0                                   3.14e-10  4.00E+00  1.00e+00  23
    8 Mg+          GRAIN-       Mg           GRAIN0                                   3.14e-10  2.43E+01  1.00e+00  23
    9 N+           GRAIN-       N            GRAIN0                                   3.14e-10  1.20E+01  1.00e+00  23
   10 Na+          GRAIN-       Na           GRAIN0                                   3.14e-10  2.30E+01  1.00e+00  23
   11 O+           GRAIN-       O            GRAIN0                                   3.14e-10  1.60E+01  1.00e+00  23
   12 S+           GRAIN-       S            GRAIN0                                   3.14e-10  3.21E+01  1.00e+00  23
   13 P+           GRAIN-       P            GRAIN0                                   3.14e-10  2.10E+01  1.00e+00  23
   14 F+           GRAIN-       F            GRAIN0                                   3.14e-10  1.90E+01  1.00e+00  23
   15 Si+          GRAIN-       Si           GRAIN0                                   3.14e-10  2.81E+01  1.00e+00  23
   16 H3+          GRAIN-       H2           H            GRAIN0                      3.14E-10  3.02E+00  3.60E-01  23
   17 H2D+         GRAIN-       HD           H            GRAIN0                      3.14E-10  4.02E+00  2.40E-01  23
   18 H2D+         GRAIN-       H2           D            GRAIN0                      3.14E-10  4.02E+00  1.20E-01  23
   19 HD2+         GRAIN-       D2           H            GRAIN0                      3.14E-10  5.01E+00  1.20E-01  23
   20 HD2+         GRAIN-       HD           D            GRAIN0                      3.14E-10  5.01E+00  2.40E-01  23
   21 D3+          GRAIN-       D2           D            GRAIN0                      3.14E-10  6.00E+00  3.60E-01  23
