Radius(AU)       0.1050
z(AU)          0.0000e+00  1.1787e-05  1.3893e-05  1.6375e-05  1.9301e-05  2.2749e-05  2.6814e-05  3.1605e-05  3.7252e-05  4.3908e-05  5.1754e-05  6.1001e-05  7.1900e-05  8.4747e-05  9.9889e-05  1.1774e-04  1.3877e-04  1.6357e-04  1.9279e-04  2.2724e-04  2.6784e-04  3.1570e-04  3.7211e-04  4.3860e-04  5.1696e-04  6.0933e-04  7.1820e-04  8.4653e-04  9.9778e-04  1.1761e-03  1.3862e-03  1.6339e-03  1.9258e-03  2.2699e-03  2.6755e-03  3.1535e-03  3.7170e-03  4.3811e-03  5.1639e-03  6.0865e-03  7.1740e-03  8.4559e-03  9.9667e-03  1.1748e-02  1.3847e-02  1.6321e-02  1.9237e-02  2.2674e-02  2.6725e-02  3.1500e-02 
ZetaH2[s^-1]   5.4746e-17  1.2628e-18  1.1932e-18  1.1634e-18  1.1462e-18  1.1344e-18  1.1254e-18  1.1181e-18  1.1121e-18  1.1073e-18  1.1036e-18  1.1012e-18  1.0999e-18  1.0998e-18  1.1006e-18  1.1021e-18  1.1040e-18  1.1060e-18  1.1076e-18  1.1085e-18  1.1083e-18  1.1064e-18  1.1022e-18  1.0948e-18  1.0831e-18  1.0655e-18  1.0401e-18  1.0044e-18  9.5561e-19  8.9059e-19  8.0660e-19  7.0225e-19  5.7909e-19  4.4344e-19  3.5707e-19  2.5520e-19  1.5682e-19  8.3446e-20  4.1662e-20  2.6669e-20  2.2364e-20  2.1078e-20  2.1031e-20  2.1031e-20  2.1031e-20  2.1031e-20  2.1031e-20  2.1031e-20  2.1031e-20  2.1031e-20 
Radius(AU)       0.2566
z(AU)          0.0000e+00  1.2004e-05  1.4409e-05  1.7296e-05  2.0761e-05  2.4921e-05  2.9914e-05  3.5908e-05  4.3103e-05  5.1739e-05  6.2106e-05  7.4550e-05  8.9487e-05  1.0742e-04  1.2894e-04  1.5477e-04  1.8579e-04  2.2301e-04  2.6769e-04  3.2133e-04  3.8571e-04  4.6300e-04  5.5576e-04  6.6712e-04  8.0079e-04  9.6124e-04  1.1538e-03  1.3850e-03  1.6625e-03  1.9956e-03  2.3955e-03  2.8755e-03  3.4516e-03  4.1432e-03  4.9734e-03  5.9698e-03  7.1660e-03  8.6018e-03  1.0325e-02  1.2394e-02  1.4877e-02  1.7858e-02  2.1437e-02  2.5732e-02  3.0887e-02  3.7076e-02  4.4505e-02  5.3422e-02  6.4126e-02  7.6975e-02 
ZetaH2[s^-1]   9.0696e-18  1.2802e-18  1.2568e-18  1.2472e-18  1.2381e-18  1.2281e-18  1.2165e-18  1.2027e-18  1.1861e-18  1.1662e-18  1.1426e-18  1.1151e-18  1.0834e-18  1.0477e-18  1.0083e-18  9.6589e-19  9.2146e-19  8.7618e-19  8.3133e-19  7.8811e-19  7.4753e-19  7.1025e-19  6.7656e-19  6.4638e-19  6.1937e-19  5.9500e-19  5.7257e-19  5.5132e-19  5.3030e-19  5.0838e-19  4.8421e-19  4.5614e-19  4.2230e-19  3.8082e-19  3.3035e-19  2.8830e-19  2.6090e-19  2.1237e-19  1.5137e-19  9.3229e-20  5.1441e-20  3.2641e-20  2.6990e-20  2.5016e-20  2.4932e-20  2.4932e-20  2.4932e-20  2.4932e-20  2.4932e-20  2.4932e-20 
Radius(AU)       0.4021
z(AU)          0.0000e+00  1.2114e-05  1.4675e-05  1.7778e-05  2.1537e-05  2.6090e-05  3.1606e-05  3.8288e-05  4.6383e-05  5.6190e-05  6.8070e-05  8.2461e-05  9.9895e-05  1.2102e-04  1.4660e-04  1.7759e-04  2.1514e-04  2.6063e-04  3.1573e-04  3.8248e-04  4.6335e-04  5.6131e-04  6.7998e-04  8.2375e-04  9.9790e-04  1.2089e-03  1.4645e-03  1.7741e-03  2.1492e-03  2.6036e-03  3.1540e-03  3.8208e-03  4.6286e-03  5.6072e-03  6.7927e-03  8.2288e-03  9.9686e-03  1.2076e-02  1.4629e-02  1.7722e-02  2.1469e-02  2.6008e-02  3.1507e-02  3.8168e-02  4.6238e-02  5.6013e-02  6.7856e-02  8.2202e-02  9.9581e-02  1.2064e-01 
ZetaH2[s^-1]   4.1523e-18  1.3283e-18  1.2861e-18  1.2762e-18  1.2704e-18  1.2645e-18  1.2573e-18  1.2484e-18  1.2375e-18  1.2239e-18  1.2071e-18  1.1866e-18  1.1618e-18  1.1320e-18  1.0969e-18  1.0562e-18  1.0100e-18  9.5863e-19  9.0306e-19  8.4458e-19  7.8482e-19  7.2566e-19  6.6890e-19  6.1608e-19  5.6827e-19  5.2595e-19  4.8901e-19  4.5689e-19  4.2873e-19  4.0352e-19  3.8014e-19  3.5736e-19  3.3384e-19  3.0808e-19  2.7850e-19  2.4379e-19  2.2976e-19  2.1490e-19  1.8240e-19  1.3672e-19  8.8782e-20  5.1804e-20  3.4814e-20  2.9152e-20  2.7361e-20  2.7304e-20  2.7304e-20  2.7304e-20  2.7304e-20  2.7304e-20 
Radius(AU)       1.0745
z(AU)          0.0000e+00  1.2360e-05  1.5276e-05  1.8881e-05  2.3336e-05  2.8842e-05  3.5648e-05  4.4060e-05  5.4457e-05  6.7307e-05  8.3189e-05  1.0282e-04  1.2708e-04  1.5707e-04  1.9413e-04  2.3994e-04  2.9655e-04  3.6653e-04  4.5302e-04  5.5992e-04  6.9204e-04  8.5533e-04  1.0572e-03  1.3066e-03  1.6149e-03  1.9960e-03  2.4670e-03  3.0491e-03  3.7686e-03  4.6579e-03  5.7570e-03  7.1154e-03  8.7944e-03  1.0870e-02  1.3434e-02  1.6604e-02  2.0523e-02  2.5365e-02  3.1351e-02  3.8748e-02  4.7891e-02  5.9192e-02  7.3159e-02  9.0423e-02  1.1176e-01  1.3813e-01  1.7072e-01  2.1101e-01  2.6080e-01  3.2234e-01 
