# 6066
# 5976
# First number is number of lines in the file 
# Second number is the number of reactions
# alpha values increased by 1e12 since I treat GRAIN- and GRAIN0 as separate species
    1 H            GRAIN        H(gr)        GRAIN                                    3.14e-10  1.00e+00  1.00e+00  20
    2 E            GRAIN0       GRAIN-                                                3.23e-03  5.00e-01  0.00e+00   0
    3 C+           GRAIN-       C            GRAIN0                                   3.14e-10  1.20e+01  1.00e+00  23
    4 Fe+          GRAIN-       Fe           GRAIN0                                   3.14e-10  5.58e+01  1.00e+00  23
    5 H+           GRAIN-       H            GRAIN0                                   3.14e-10  1.01e+00  1.00e+00  23
    6 He+          GRAIN-       He           GRAIN0                                   3.14e-10  4.00e+00  1.00e+00  23
    7 Mg+          GRAIN-       Mg           GRAIN0                                   3.14e-10  2.43e+01  1.00e+00  23
    8 N+           GRAIN-       N            GRAIN0                                   3.14e-10  1.40e+01  1.00e+00  23
    9 Na+          GRAIN-       Na           GRAIN0                                   3.14e-10  2.30e+01  1.00e+00  23
   10 O+           GRAIN-       O            GRAIN0                                   3.14e-10  1.60e+01  1.00e+00  23
   11 S+           GRAIN-       S            GRAIN0                                   3.14e-10  3.21e+01  1.00e+00  23
   12 P+           GRAIN-       P            GRAIN0                                   3.14e-10  3.10e+01  1.00e+00  23
   13 F+           GRAIN-       F            GRAIN0                                   3.14e-10  1.90e+01  1.00e+00  23
   14 Si+          GRAIN-       Si           GRAIN0                                   3.14e-10  2.81e+01  1.00e+00  23
   15 H3+          GRAIN-       H2           H            GRAIN0                      3.14e-10  3.00e+00  3.60e-01  23
   16 H3+          GRAIN-       H            H            H            GRAIN0         3.14e-10  3.00e+00  6.40e-01  23
# Cosmic Ray Ionization
   17 C            CRP          C+           E                                        1.33e-14  0.00e+00  0.00e+00  46
   18 Cl           CRP          Cl+          E                                        3.90e-14  0.00e+00  0.00e+00  46
   19 Fe           CRP          Fe+          E                                        1.95e-14  0.00e+00  0.00e+00  46
   20 H            CRP          H+           E                                        5.98e-18  0.00e+00  0.00e+00  46
   21 He           CRP          He+          E                                        6.50e-18  0.00e+00  0.00e+00  46
