#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
    1 H            GRAIN        H(gr)        GRAIN                                    3.14e-10  1.00e+00  1.00e+00  20
    2 H(gr)        H(gr)        H2                                                    1.00e+00  0.00e+00  0.00e+00  41
    3 E            GRAIN0       GRAIN-                                                3.23e-03  5.00e-01  0.00e+00   0
    4 C+           GRAIN-       C            GRAIN0                                   3.14e-10  1.20e+01  5.00e-01  23
    5 Y+           GRAIN-       Y            GRAIN0                                   3.14e-10  1.30e+01  5.00e-01  23
    6 Fe+          GRAIN-       Fe           GRAIN0                                   3.14e-10  5.58e+01  5.00e-01  23
    7 H+           GRAIN-       H            GRAIN0                                   3.14e-10  1.01e+00  5.00e-01  23
    8 He+          GRAIN-       He           GRAIN0                                   3.14e-10  4.00e+00  5.00e-01  23
    9 Mg+          GRAIN-       Mg           GRAIN0                                   3.14e-10  2.43e+01  5.00e-01  23
   10 N+           GRAIN-       N            GRAIN0                                   3.14e-10  1.40e+01  5.00e-01  23
   11 Na+          GRAIN-       Na           GRAIN0                                   3.14e-10  2.30e+01  5.00e-01  23
   12 O+           GRAIN-       O            GRAIN0                                   3.14e-10  1.60e+01  5.00e-01  23
   13 Z+           GRAIN-       Z            GRAIN0                                   3.14e-10  1.80e+01  5.00e-01  23
   14 S+           GRAIN-       S            GRAIN0                                   3.14e-10  3.21e+01  5.00e-01  23
   15 P+           GRAIN-       P            GRAIN0                                   3.14e-10  3.10e+01  5.00e-01  23
   16 F+           GRAIN-       F            GRAIN0                                   3.14e-10  1.90e+01  5.00e-01  23
   17 Si+          GRAIN-       Si           GRAIN0                                   3.14e-10  2.81e+01  5.00e-01  23
   18 H3+          GRAIN-       H2           H            GRAIN0                      3.14e-10  3.02e+00  5.00e-01  23
   19 HCO+         GRAIN-       H            CO           GRAIN0                      3.14e-10  2.90e+01  5.00e-01  23
   20 HYO+         GRAIN-       H            YO           GRAIN0                      3.14e-10  3.00e+01  5.00e-01  23
   21 HCZ+         GRAIN-       H            CZ           GRAIN0                      3.14e-10  3.10e+01  5.00e-01  23
   22 HYZ+         GRAIN-       H            YZ           GRAIN0                      3.14e-10  3.20e+01  5.00e-01  23
   23 C            CRP          C+           E                                        1.33e-14  0.00e+00  0.00e+00  46
   24 Y            CRP          Y+           E                                        1.33e-14  0.00e+00  0.00e+00  46
   25 Cl           CRP          Cl+          E                                        3.90e-14  0.00e+00  0.00e+00  46
   26 Fe           CRP          Fe+          E                                        1.95e-14  0.00e+00  0.00e+00  46
   27 H            CRP          H+           E                                        5.98e-18  0.00e+00  0.00e+00  46
   28 He           CRP          He+          E                                        6.50e-18  0.00e+00  0.00e+00  46
   29 Mg           CRP          Mg+          E                                        1.47e-15  0.00e+00  0.00e+00  46
   30 N            CRP          N+           E                                        2.73e-17  0.00e+00  0.00e+00  46
   31 Na           CRP          Na+          E                                        2.21e-16  0.00e+00  0.00e+00  46
