#um    star(nufnu) model
1.000000000000000056e-01 4.847251619062213623e-26 2.869402050313427597e-27
1.250576959999999960e-01 4.104037762221403648e-22 4.383599436237288037e-22
1.563942732999999974e-01 5.931294203867954190e-19 6.494783940527039317e-19
1.955830748000000063e-01 3.382421804217569905e-16 3.753559894531851203e-16
2.445916871000000103e-01 1.279485890646066937e-13 1.427644194507880720e-13
3.058807284999999765e-01 1.441471186651016751e-11 1.623425827202929892e-11
3.825273914999999803e-01 1.093452971644120940e-10 1.261889868601699733e-10
4.783799423000000273e-01 4.400062503116201926e-10 5.233902943203062696e-10
5.982509338999999482e-01 8.162495353520038616e-10 9.805146226921933716e-10
7.481588341999999558e-01 9.317590927185578024e-10 1.126195555230926336e-09
9.356302004000000005e-01 9.543993182746753667e-10 1.158153338697981906e-09
1.170077572000000066e+00 9.127567558533666477e-10 1.104598396910671695e-09
1.463272051999999990e+00 8.762998823541219501e-10 1.046659590238706143e-09
1.829934315000000034e+00 6.589657000988807822e-10 7.827373326615045180e-10
2.288473692000000170e+00 3.595767516825562048e-10 4.167137178259317200e-10
2.861912472999999846e+00 2.066097276999691543e-10 2.316197597793345929e-10
3.579041800000000162e+00 1.126711608741417444e-10 1.264826697892514816e-10
4.475867212999999900e+00 5.372153478822737523e-11 6.360595049590183613e-11
5.597416412000000285e+00 3.000057892392444263e-11 4.486118992766666406e-11
7.000000000000000000e+00 1.792058893521748140e-11 4.176133607665141076e-11
7.180503189000000397e+00 1.660281619645044517e-11 4.135545032041002934e-11
7.365660862999999559e+00 1.538194456568701744e-11 4.107194577083640868e-11
7.555593045000000174e+00 1.425084852005241340e-11 4.222187907257456154e-11
7.750422849999999642e+00 1.320292650208533340e-11 4.318197770898336323e-11
7.950276568999999682e+00 1.223206239080222905e-11 4.569277968513174326e-11
8.155283751000000692e+00 1.133258980696806948e-11 4.870737241261221754e-11
8.365577282000000281e+00 1.049925905151215694e-11 5.149277484874811272e-11
8.581293477999999197e+00 9.727206444246960132e-12 5.380575718961614927e-11
8.802572168999999391e+00 9.011925961074785216e-12 5.610862285673333956e-11
9.029556789000000805e+00 8.349242920325136006e-12 5.819512740328125904e-11
9.262394474000000599e+00 7.735289618408465519e-12 5.990836514737266551e-11
9.501236151000000518e+00 7.166482764241254320e-12 6.164185145339027805e-11
9.746236638999999258e+00 6.639502558914199506e-12 6.224134611489053836e-11
9.997554751999999212e+00 6.151273319932051191e-12 6.217864984943681252e-11
1.025535340000000062e+01 5.698945532165002022e-12 6.219928057125234012e-11
1.051979968000000021e+01 5.279879224093323486e-12 6.153285318849390365e-11
1.079106501999999956e+01 4.891628539447323509e-12 6.070343795019598699e-11
1.106932525999999939e+01 4.531927481486343855e-12 5.972436922752306834e-11
1.135476075999999956e+01 4.198676687390849059e-12 5.857231184227709234e-11
1.164755654000000007e+01 3.889931162111572494e-12 5.739354255809053046e-11
1.194790242000000013e+01 3.603888926976523527e-12 5.617658048789677124e-11
1.225599305999999977e+01 3.338880527556822045e-12 5.476516809623884964e-11
1.257202816999999939e+01 3.093359260088739471e-12 5.347119809254835063e-11
1.289621263000000084e+01 2.865892151972082236e-12 5.217362106057245449e-11
