0.030    0.055	14.3	722	-4190		14.2	727	-4130		0.0344	-1.62 	 88.2	
0.055    0.100	22.3	432	-1530		22	445	-1550		-0.147	4.19	 48.1	
0.100    0.165	31.5	246	-578		31	263	-614		-0.677	14.9	 9.6	
0.165    0.284	42 	120	-198		43.7	112	-165		-1.12	23.6	-16.2	
0.284    0.400	51.5	50	-68.7		49	86	-103		0.188	24.6	-1.09	
0.400    0.532	58.1	16.8	-26.4		58.6	36.9	-39.9		-3.57	55.5	-37.9	
0.532    0.708	63.2	-2.37	-8.44		48	130	-82.2		-8.24	89.6	-48.1	
0.708    0.867	66.8	-12.5	-1.18		77.4	46.3	-22		57.1	-49.9 	 52.1	
0.867    1.303	69.4	-17.5	1.2		80.1	69.8	-28.3		9.11	72.7	-20.8	
1.303    1.840	71.6	-22.3	3.56		117	7.43	-1.87		-8.71	106	-25.7	
1.840    2.471	66.6	-16.8	2.06		107	16	-3.75		34.9	72.4	-11.4	
2.471    3.210	61.4	-12.6	1.21		106	13.6	-2.63		23.6	85.1	-11.3	
3.210    4.038	56.6	-9.6	0.75		138	-1.99	-0.179		116	28.2	-2.55	
4.038    7.111	48.4	-5.8	0.308		142	-4.7	 0.239		191	-2.92 	 1.09	
7.111    8.331	40.5	-3.43	0.128		138	-3.36	 0.133		812	-74.7 	 6.49	
8.331    10.00	37.8	-2.8	0.091		88.9	8.15	-0.547		-33	137	-6.39	
