wavelength [microns],ISRF [ergs/cm^2/sec/micron]
0.091,1.07E-02
0.1,1.47E-02
0.11,2.04E-02
0.13,2.05E-02
0.143,1.82E-02
0.18,1.24E-02
0.2,1.04E-02
0.21,9.61E-03
0.216,9.17E-03
0.23,8.25E-03
0.25,7.27E-03
0.346,1.30E-02
0.435,1.50E-02
0.55,1.57E-02
0.7,1.53E-02
0.9,1.32E-02
1.2,9.26E-03
1.8,4.06E-03
2.2,2.41E-03
2.4,1.89E-03
3.4,6.49E-04
4,3.79E-04
5,1.76E-04
6,9.21E-05
8,4.33E-05
10,3.26E-05
12,2.21E-05
20,7.13E-06
25,1.14E-05
30,1.70E-05
40,3.06E-05
50,4.08E-05
60,4.76E-05
70,4.51E-05
80,4.20E-05
90,3.62E-05
100,3.16E-05
150,1.36E-05
200,5.61E-06
300,1.39E-06
400,5.61E-07
600,1.32E-07
800,4.20E-08
1000,2.14E-08
