0.030    0.055	0.0203	-1.5	47		0.00785	-0.576	17		0.00260	-0.19	5.52		0.000829	-0.0607	1.75	
0.055    0.100	0.0192	-1.64	50.9		0.0166	-0.918	20.6		0.00616	-0.325	6.9		0.00203	-0.106	2.21	
0.100    0.165	-0.173	1.69	40.7		0.00492	-0.794	21.7		0.00703	-0.371	7.65		0.00275	-0.129	2.48	
0.165    0.284	-1.36	15.8	2.1		-0.236	2.05	14.4		-0.0475	0.28	6.03		-0.0124	0.0528	2.04	
0.284    0.400	-2.96	27.5	-0.943		-0.61	4.29	16.7		-0.103	0.539	7.52		-0.0238	0.091	2.58	
0.400    0.532	-9.08	61.6	-37.5		-3.24	17.7	2.89		-0.755	3.89	4.26		-0.212	1.06	1.66	
0.532    0.708	-19.2	100	-48.7		-7.71	31.9	0.587		-1.8	7.03	4.67		-0.506	1.92	1.9	
0.708    0.867	17	19.2	17.5		2.13	8.01	23.4		1.92	-2.27	13		0.725	-1.17	4.65	
0.867    1.303	-14	98.2	-28.7		-25.5	71.1	-11.5		-5.4	14.6	3.75		-1.4	3.74	1.93	
1.303    1.840	-27.1	120	-28.6		-63	123	-24.5		-17.8	31.3	-0.219		-4.69	8.05	1.04	
1.840    2.471	15.8	84.1	-13.4		-59.6	119	-17.9		-28	40.5	-0.463		-6.39	9.35	1.39	
2.471    3.210	10.1	91.3	-12.1		-63.7	121	-15.4		-63.4	66.4	-4.23		-14.7	15.2	0.66	
3.210    4.038	106	31.9	-2.95		40.9	56.7	-5.52		-71.8	72.3	-5.27		-15.4	15.7	0.556	
4.038    7.111	187	-1.84	1.01		156	6.49	0.416		-1.51	43	-1.96		-17	16.9	0.479	
7.111    8.331	800	-72.4	6.37		704	-53.9	5.39		183	37.1	0.832		24	13.7	2.21	
8.331    10.00	-39.5	138	-6.42		-90.7	145	-6.69		-397	181	-7.76		-276	86	-2.05	

