# Numerical radiation field:  Lyman-alpha_100km.s-1
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
120.00000 5.01791e+01
120.00100 5.02432e+01
120.00200 5.03075e+01
120.00300 5.03720e+01
120.00400 5.04365e+01
120.00500 5.05012e+01
120.00600 5.05660e+01
120.00700 5.06309e+01
120.00800 5.06959e+01
120.00900 5.07611e+01
120.01000 5.08264e+01
120.01100 5.08918e+01
120.01200 5.09573e+01
120.01300 5.10230e+01
120.01400 5.10888e+01
120.01500 5.11547e+01
120.01600 5.12208e+01
120.01700 5.12870e+01
120.01800 5.13533e+01
120.01900 5.14197e+01
120.02000 5.14863e+01
120.02100 5.15530e+01
120.02200 5.16198e+01
120.02300 5.16868e+01
120.02400 5.17538e+01
120.02500 5.18211e+01
120.02600 5.18884e+01
120.02700 5.19559e+01
120.02800 5.20235e+01
120.02900 5.20912e+01
120.03000 5.21591e+01
120.03100 5.22271e+01
120.03200 5.22953e+01
120.03300 5.23635e+01
120.03400 5.24320e+01
120.03500 5.25005e+01
120.03600 5.25692e+01
120.03700 5.26380e+01
120.03800 5.27069e+01
120.03900 5.27760e+01
120.04000 5.28452e+01
120.04100 5.29146e+01
120.04200 5.29841e+01
120.04300 5.30537e+01
120.04400 5.31235e+01
120.04500 5.31934e+01
120.04600 5.32634e+01
120.04700 5.33336e+01
120.04800 5.34039e+01
120.04900 5.34744e+01
120.05000 5.35450e+01
120.05100 5.36157e+01
120.05200 5.36866e+01
120.05300 5.37576e+01
120.05400 5.38288e+01
120.05500 5.39001e+01
120.05600 5.39716e+01
120.05700 5.40431e+01
120.05800 5.41149e+01
120.05900 5.41867e+01
120.06000 5.42588e+01
120.06100 5.43309e+01
120.06200 5.44032e+01
120.06300 5.44757e+01
120.06400 5.45483e+01
120.06500 5.46210e+01
120.06600 5.46939e+01
120.06700 5.47669e+01
120.06800 5.48401e+01
120.06900 5.49134e+01
120.07000 5.49869e+01
120.07100 5.50605e+01
120.07200 5.51343e+01
120.07300 5.52082e+01
120.07400 5.52823e+01
120.07500 5.53565e+01
120.07600 5.54308e+01
120.07700 5.55053e+01
120.07800 5.55800e+01
120.07900 5.56548e+01
120.08000 5.57298e+01
120.08100 5.58049e+01
120.08200 5.58802e+01
120.08300 5.59556e+01
120.08400 5.60312e+01
120.08500 5.61069e+01
120.08600 5.61828e+01
120.08700 5.62588e+01
120.08800 5.63350e+01
120.08900 5.64113e+01
120.09000 5.64878e+01
120.09100 5.65645e+01
120.09200 5.66413e+01
120.09300 5.67183e+01
120.09400 5.67954e+01
120.09500 5.68727e+01
120.09600 5.69501e+01
120.09700 5.70277e+01
120.09800 5.71055e+01
120.09900 5.71834e+01
120.10000 5.72615e+01
120.10100 5.73397e+01
120.10200 5.74181e+01
120.10300 5.74967e+01
120.10400 5.75754e+01
120.10500 5.76543e+01
120.10600 5.77333e+01
120.10700 5.78125e+01
120.10800 5.78919e+01
120.10900 5.79714e+01
120.11000 5.80511e+01
120.11100 5.81310e+01
120.11200 5.82110e+01
120.11300 5.82912e+01
120.11400 5.83715e+01
120.11500 5.84521e+01
120.11600 5.85328e+01
120.11700 5.86136e+01
120.11800 5.86946e+01
120.11900 5.87758e+01
120.12000 5.88572e+01
120.12100 5.89387e+01
120.12200 5.90204e+01
120.12300 5.91023e+01
120.12400 5.91843e+01
120.12500 5.92666e+01
120.12600 5.93489e+01
120.12700 5.94315e+01
120.12800 5.95142e+01
120.12900 5.95971e+01
120.13000 5.96802e+01
120.13100 5.97635e+01
120.13200 5.98469e+01
120.13300 5.99305e+01
120.13400 6.00143e+01
120.13500 6.00982e+01
120.13600 6.01823e+01
120.13700 6.02666e+01
120.13800 6.03511e+01
120.13900 6.04358e+01
120.14000 6.05206e+01
120.14100 6.06056e+01
120.14200 6.06908e+01
120.14300 6.07762e+01
120.14400 6.08617e+01
120.14500 6.09475e+01
120.14600 6.10334e+01
120.14700 6.11195e+01
120.14800 6.12058e+01
120.14900 6.12922e+01
120.15000 6.13789e+01
120.15100 6.14657e+01
120.15200 6.15527e+01
120.15300 6.16399e+01
120.15400 6.17273e+01
120.15500 6.18149e+01
120.15600 6.19027e+01
120.15700 6.19906e+01
120.15800 6.20787e+01
120.15900 6.21671e+01
120.16000 6.22556e+01
120.16100 6.23443e+01
120.16200 6.24332e+01
120.16300 6.25222e+01
120.16400 6.26115e+01
120.16500 6.27010e+01
120.16600 6.27906e+01
120.16700 6.28805e+01
120.16800 6.29705e+01
120.16900 6.30607e+01
120.17000 6.31512e+01
120.17100 6.32418e+01
120.17200 6.33326e+01
120.17300 6.34236e+01
120.17400 6.35148e+01
120.17500 6.36062e+01
120.17600 6.36979e+01
120.17700 6.37897e+01
120.17800 6.38817e+01
120.17900 6.39739e+01
120.18000 6.40663e+01
120.18100 6.41589e+01
120.18200 6.42517e+01
120.18300 6.43447e+01
120.18400 6.44379e+01
120.18500 6.45313e+01
120.18600 6.46249e+01
120.18700 6.47187e+01
120.18800 6.48127e+01
120.18900 6.49069e+01
120.19000 6.50014e+01
120.19100 6.50960e+01
120.19200 6.51909e+01
120.19300 6.52859e+01
120.19400 6.53812e+01
120.19500 6.54766e+01
120.19600 6.55723e+01
120.19700 6.56682e+01
120.19800 6.57643e+01
120.19900 6.58606e+01
120.20000 6.59571e+01
120.20100 6.60539e+01
120.20200 6.61508e+01
120.20300 6.62480e+01
120.20400 6.63454e+01
120.20500 6.64429e+01
120.20600 6.65407e+01
120.20700 6.66388e+01
120.20800 6.67370e+01
120.20900 6.68355e+01
120.21000 6.69341e+01
120.21100 6.70330e+01
120.21200 6.71321e+01
120.21300 6.72315e+01
120.21400 6.73310e+01
120.21500 6.74308e+01
120.21600 6.75308e+01
120.21700 6.76310e+01
120.21800 6.77315e+01
120.21900 6.78321e+01
120.22000 6.79330e+01
120.22100 6.80341e+01
120.22200 6.81355e+01
120.22300 6.82370e+01
120.22400 6.83388e+01
120.22500 6.84409e+01
120.22600 6.85431e+01
120.22700 6.86456e+01
120.22800 6.87483e+01
120.22900 6.88513e+01
120.23000 6.89544e+01
120.23100 6.90578e+01
120.23200 6.91615e+01
120.23300 6.92654e+01
120.23400 6.93695e+01
120.23500 6.94738e+01
120.23600 6.95784e+01
120.23700 6.96832e+01
120.23800 6.97883e+01
120.23900 6.98936e+01
120.24000 6.99991e+01
120.24100 7.01049e+01
120.24200 7.02109e+01
120.24300 7.03171e+01
120.24400 7.04236e+01
120.24500 7.05303e+01
120.24600 7.06373e+01
120.24700 7.07445e+01
120.24800 7.08520e+01
120.24900 7.09597e+01
120.25000 7.10677e+01
