# Binned R [arcsec], Binned Z [arcsec], Avg. Temperature [K]
0.245242, 0.067430, 16.893510
0.296015, 0.037461, 19.011999
0.346788, 0.040583, 19.210032
0.397562, 0.056191, 19.140442
0.448335, 0.052829, 19.652082
0.499108, 0.049948, 20.037595
0.549881, 0.030650, 20.448602
0.600655, 0.044596, 19.163175
0.651428, 0.060874, 18.644661
0.702201, 0.048813, 19.279832
0.752974, 0.039802, 19.697952
0.803748, 0.039731, 21.285892
0.854521, 0.019979, 19.738426
0.905294, 0.031911, 19.163714
0.956067, 0.051262, 18.396046
1.006841, 0.052445, 19.581696
1.057614, 0.064705, 20.134510
1.108387, 0.143600, 18.834079
1.159160, 0.146557, 19.033700
1.209934, 0.175778, 18.086708
1.260707, 0.191467, 17.744151
1.311480, 0.225360, 17.107854
1.362253, 0.205467, 16.611955
1.413027, 0.225806, 16.954501
1.463800, 0.208710, 16.648138
1.514573, 0.276917, 16.376161
1.565347, 0.269284, 15.908001
1.616120, 0.301248, 15.232999
1.666893, 0.321539, 17.770455
1.717666, 0.276274, 14.929125
1.768440, 0.302809, 17.073532
1.819213, 0.305930, 17.750116
1.869986, 0.287200, 15.608645
1.920759, 0.133194, 14.996499
1.971533, 0.363014, 14.071637
2.022306, 0.198230, 14.341923
2.073079, 0.036500, 14.125078
2.123852, 0.179500, 12.493326
2.174626, 0.221643, 12.329158
2.225399, 0.214776, 12.387663
2.276172, 0.242604, 12.337495
2.326945, 0.274713, 12.672570
2.377719, 0.135796, 12.025192
2.428492, 0.075814, 13.933974
2.479265, 0.083841, 11.888216
