# R [arcsec], Z [arcsec], Temperature [K]
0.250665, 0.199791, 16.882619
0.250665, 0.024974, 12.890574
0.258232, 0.049948, 19.651444
0.268294, 0.037461, 18.023644
0.274743, 0.049948, 20.555693
0.284221, 0.037461, 19.228385
0.291692, 0.049948, 21.554450
0.297787, 0.024974, 18.344554
0.309005, 0.049948, 22.586844
0.310220, 0.049948, 20.118307
0.317461, 0.037461, 21.129591
0.318672, 0.024974, 15.560001
0.318672, 0.024974, 14.330201
0.321173, 0.024974, 16.611386
0.334636, 0.037461, 21.676335
0.335786, 0.024974, 18.786756
0.342268, 0.037461, 18.828851
0.350795, 0.074922, 15.241999
0.352110, 0.037461, 21.933482
0.354199, 0.024974, 15.960274
0.357138, 0.037461, 19.244750
0.362607, 0.049948, 21.940693
0.373960, 0.062435, 17.390287
0.373975, 0.024974, 19.132505
0.374625, 0.037461, 21.976740
0.393375, 0.037461, 21.838268
0.405494, 0.062435, 17.245515
0.407139, 0.049948, 21.791741
0.410727, 0.062435, 18.186093
0.412302, 0.049948, 19.160669
0.417164, 0.062435, 17.850255
0.417563, 0.074922, 17.309166
0.418520, 0.074922, 18.547859
0.420427, 0.074922, 19.211461
0.423272, 0.074922, 17.388286
0.426335, 0.049948, 22.256318
0.441517, 0.037461, 22.695546
0.442557, 0.049948, 18.329517
0.443372, 0.062435, 18.797411
0.446358, 0.062435, 18.654979
0.447860, 0.062435, 19.622771
0.447860, 0.062435, 18.691272
0.450271, 0.012487, 18.340818
0.461018, 0.037461, 23.126018
0.461341, 0.062435, 18.579222
0.468024, 0.062435, 18.681838
0.469207, 0.049948, 20.265093
0.473897, 0.062435, 17.888088
0.475137, 0.049948, 20.331661
0.480559, 0.037461, 23.566109
0.480672, 0.062435, 19.037380
0.485163, 0.024974, 17.953365
0.487393, 0.074922, 18.538358
0.493808, 0.062435, 19.215484
0.497062, 0.024974, 24.024262
0.497348, 0.049948, 18.756623
0.497484, 0.037461, 20.348764
0.502744, 0.074922, 18.462150
0.504669, 0.037461, 20.114724
0.507391, 0.062435, 19.175002
0.514355, 0.037461, 24.396942
0.521047, 0.037461, 19.409051
0.521389, 0.062435, 19.314071
0.530179, 0.037461, 19.844746
0.532050, 0.049948, 20.067197
0.541854, 0.012487, 21.901464
0.547351, 0.049948, 19.626281
0.549069, 0.024974, 19.715920
0.550173, 0.012487, 20.003729
0.554421, 0.024974, 20.141316
0.561776, 0.049948, 19.529217
0.561897, 0.024974, 22.302741
0.566152, 0.024974, 22.567338
0.566284, 0.024974, 19.219691
0.576535, 0.049948, 19.309169
0.583676, 0.024974, 18.868181
0.587205, 0.037461, 22.402827
0.591602, 0.049948, 19.026758
0.611100, 0.037461, 17.939265
0.617654, 0.062435, 18.727952
0.622679, 0.049948, 17.851211
0.631345, 0.049948, 18.021398
0.632241, 0.049948, 18.188403
0.633006, 0.062435, 18.424238
0.648612, 0.062435, 18.121049
