# Binned R [arcsec], Binned Z [arcsec], Avg. Temperature [K]
0.172505, 0.018730, 9.324033
0.222478, 0.017482, 10.689684
0.272450, 0.023190, 11.123330
0.322423, 0.024974, 12.451596
0.372395, 0.031217, 12.014351
0.422368, 0.036500, 11.619451
0.472340, 0.038596, 12.217524
0.522313, 0.037461, 11.476816
0.572285, 0.038421, 11.198776
0.622258, 0.067430, 11.178856
0.672230, 0.058272, 10.549009
0.722203, 0.070759, 9.062256
0.772175, 0.024974, 8.372771
0.822148, 0.070759, 8.784436
0.872120, 0.049948, 8.295086
0.922093, 0.062435, 8.358539
0.972065, 0.087409, 9.287195
1.022038, 0.054943, 8.620232
1.072010, 0.099896, 9.254890
1.121983, 0.099896, 6.587608
1.171955, 0.121748, 6.460346
1.221928, 0.089490, 6.669106
1.271900, 0.092091, 6.498525
1.321873, 0.202062, 6.506559
1.371845, 0.240374, 7.015978
1.421818, 0.305363, 6.619526
1.471790, 0.188553, 6.720362
1.521762, 0.271145, 6.188308
1.571735, 0.240820, 6.588954
1.621707, 0.269361, 5.692248
1.721652, 0.285119, 5.655641
1.821597, 0.278875, 6.220079
1.871570, 0.145681, 5.871175
1.921542, 0.229760, 5.721486
1.971515, 0.217630, 5.986511
2.021487, 0.212278, 6.357880
2.071460, 0.187304, 5.742784
2.121432, 0.226014, 5.651585
2.221377, 0.230117, 5.725330
2.271350, 0.220603, 5.519140
2.321322, 0.321985, 5.918662
