# R [arcsec], Z [arcsec], Temperature [K]
0.173044, 0.012487, 9.447675
0.186398, 0.012487, 9.899756
0.219657, 0.012487, 10.286172
0.228078, 0.024974, 10.362090
0.228581, 0.012487, 10.831297
0.234988, 0.024974, 11.142474
0.238289, 0.012487, 10.822546
0.250495, 0.037461, 9.895077
0.252945, 0.012487, 11.055428
0.258356, 0.037461, 10.528282
0.268294, 0.012487, 11.485113
0.282194, 0.024974, 11.256721
0.284221, 0.012487, 11.955768
0.291947, 0.024974, 11.666112
0.300635, 0.012487, 12.421053
0.302710, 0.024974, 11.792917
0.309005, 0.024974, 12.860644
0.314377, 0.024974, 11.683058
0.318672, 0.049948, 11.894422
0.326625, 0.024974, 13.254837
0.342268, 0.012487, 13.241105
0.350795, 0.024974, 11.048095
0.351933, 0.049948, 11.717370
0.351933, 0.024974, 13.889445
0.352529, 0.037461, 11.459568
0.353097, 0.024974, 11.622933
0.357138, 0.012487, 12.836946
0.365891, 0.037461, 11.131159
0.367486, 0.012487, 14.938528
0.367486, 0.037461, 11.528170
0.372488, 0.037461, 12.592766
0.378465, 0.037461, 11.308930
0.390942, 0.037461, 11.294777
0.391762, 0.024974, 11.368941
0.394305, 0.037461, 11.381124
0.401867, 0.037461, 10.441468
0.404024, 0.012487, 11.081028
0.404024, 0.037461, 11.451218
0.404779, 0.037461, 11.223011
0.409239, 0.037461, 11.192590
0.410727, 0.062435, 12.546871
0.413577, 0.037461, 11.525795
0.414286, 0.049948, 10.888168
0.417655, 0.037461, 11.566354
0.417655, 0.012487, 11.078453
0.419353, 0.024974, 11.546479
0.420330, 0.049948, 11.595518
0.420427, 0.049948, 11.519869
0.421304, 0.037461, 12.925871
0.421304, 0.062435, 10.822390
0.423138, 0.037461, 11.636163
0.430387, 0.049948, 10.584099
0.430647, 0.024974, 11.281516
0.431693, 0.049948, 12.552223
0.431782, 0.012487, 11.435668
0.435290, 0.049948, 11.527677
0.439748, 0.037461, 12.595496
0.442557, 0.024974, 10.889705
0.443372, 0.037461, 13.273151
0.443575, 0.024974, 13.289534
0.446358, 0.012487, 11.550293
0.447860, 0.037461, 13.554747
0.450731, 0.024974, 13.215579
0.456373, 0.037461, 10.914032
0.461341, 0.062435, 11.299123
0.461341, 0.012487, 11.402821
0.472733, 0.037461, 11.239966
0.473897, 0.062435, 11.772124
0.473897, 0.012487, 12.718697
0.476693, 0.062435, 11.318617
0.485273, 0.037461, 13.641860
0.491009, 0.037461, 13.258796
0.497348, 0.049948, 11.589022
0.498423, 0.012487, 11.026305
0.502744, 0.049948, 11.459714
0.506118, 0.049948, 11.202378
0.508366, 0.037461, 11.600154
0.513208, 0.024974, 12.757504
0.515515, 0.049948, 10.918702
0.524459, 0.024974, 10.601758
0.524629, 0.037461, 11.774485
0.528796, 0.037461, 11.598041
0.535754, 0.012487, 12.095304
0.539898, 0.062435, 10.705346
0.541143, 0.037461, 11.844598
0.550173, 0.062435, 10.446421
0.550496, 0.037461, 10.286206
0.554849, 0.024974, 11.722245
0.557885, 0.037461, 11.853545
0.560973, 0.037461, 10.131586
0.566284, 0.024974, 11.836309
0.570488, 0.024974, 11.736055
0.572268, 0.037461, 9.601659
0.575740, 0.037461, 11.836148
0.586202, 0.049948, 11.952798
0.587790, 0.037461, 10.238916
0.591286, 0.049948, 12.220745
