# Binned R [arcsec], Binned Z [arcsec], Avg. Temperature [K]
0.289335, 0.208335, 31.239618
0.337082, 0.078208, 32.462719
0.384830, 0.085328, 31.318829
0.432578, 0.160249, 32.374131
0.480325, 0.166076, 32.157970
0.528073, 0.175511, 32.363247
0.575820, 0.192507, 32.116177
0.623568, 0.210357, 33.532305
0.671315, 0.231901, 35.501799
0.719063, 0.237252, 33.638754
0.766811, 0.251711, 34.322113
0.814558, 0.300936, 35.298834
0.862306, 0.326130, 35.700536
0.910053, 0.339021, 36.130503
0.957801, 0.365868, 36.400457
1.005548, 0.404691, 35.543081
1.053296, 0.416610, 34.142218
1.101044, 0.403745, 33.544689
1.148791, 0.476425, 32.431187
1.196539, 0.547156, 32.188222
1.244286, 0.560664, 32.333398
1.292034, 0.534164, 32.487861
1.339782, 0.504281, 32.561136
1.387529, 0.507109, 32.026571
1.435277, 0.510300, 32.089214
1.483024, 0.605617, 31.588091
1.530772, 0.561913, 31.214419
1.578519, 0.600067, 30.899997
1.626267, 0.623780, 31.016859
1.674015, 0.738651, 29.850712
1.721762, 0.750846, 29.841534
1.769510, 0.823693, 29.663692
1.817257, 0.813824, 30.019645
1.865005, 0.865502, 29.197846
1.912752, 0.840996, 28.170580
1.960500, 0.778874, 28.112403
2.008248, 0.777991, 27.423462
2.055995, 0.695326, 26.738090
2.103743, 0.621226, 25.958078
2.151490, 0.628510, 24.943986
2.199238, 0.590217, 23.443549
2.246986, 0.636835, 24.917288
2.294733, 0.631632, 24.643562
2.342481, 0.592650, 24.250786
2.390228, 0.601644, 22.290487
2.437976, 0.575440, 21.400568
2.485723, 0.573508, 20.941336
2.533471, 0.579751, 19.849125
2.581219, 0.554421, 19.363288
2.628966, 0.481228, 20.527883
2.676714, 0.375744, 17.980913
2.724461, 0.525344, 20.376592
2.772209, 0.565815, 20.371690
2.819956, 0.614742, 19.775087
2.867704, 0.609185, 20.710790
2.915452, 0.603536, 19.937282
2.963199, 0.647240, 21.653584
3.010947, 0.661808, 19.757989
3.058694, 0.620185, 19.642669
3.106442, 0.696772, 18.912160
3.154190, 0.639956, 16.576798
3.201937, 0.478250, 15.051145
3.249685, 0.468261, 16.477408
3.297432, 0.484110, 16.575944
3.345180, 0.388879, 15.846057
3.392927, 0.389593, 14.346849
3.440675, 0.329656, 13.001047
3.488423, 0.299687, 12.614619
3.536170, 0.299687, 10.915158
3.583918, 0.485604, 12.968636
3.631665, 0.451801, 12.924882
3.679413, 0.438084, 14.062707
3.727160, 0.396461, 11.808544
3.774908, 0.462017, 9.571607
3.822656, 0.074922, 12.852519
3.918151, 0.099896, 9.520572
