# R [arcsec], Z [arcsec], Temperature [K]
0.290257, 0.087409, 32.970598
0.294341, 0.699269, 33.251924
0.294341, 0.099896, 33.163815
0.302026, 0.074922, 29.027742
0.302053, 0.087409, 32.794431
0.304690, 0.062435, 30.103754
0.304690, 0.062435, 27.899379
0.305040, 0.087409, 32.457330
0.310220, 0.099896, 33.885787
0.317114, 0.062435, 39.178892
0.318672, 0.049948, 28.794991
0.320389, 0.087409, 31.986246
0.321173, 0.074922, 34.268840
0.324888, 0.074922, 29.740554
0.326552, 0.099896, 34.281674
0.336228, 0.087409, 31.664433
0.336691, 0.062435, 39.821474
0.337677, 0.062435, 30.296000
0.340049, 0.074922, 29.976720
0.341212, 0.062435, 31.308478
0.341212, 0.062435, 30.404199
0.343273, 0.099896, 34.395154
0.344505, 0.099896, 34.910761
0.350930, 0.099896, 27.941987
0.352110, 0.062435, 31.334986
0.352490, 0.087409, 31.480063
0.353883, 0.074922, 30.665324
0.360328, 0.099896, 34.289791
0.367501, 0.099896, 29.340314
0.368284, 0.074922, 31.210476
0.373960, 0.087409, 28.214021
0.378214, 0.087409, 31.123151
0.378214, 0.087409, 31.532569
0.383188, 0.074922, 31.570813
0.386069, 0.037461, 31.689977
0.386069, 0.112383, 33.905684
0.388262, 0.062435, 31.730296
0.389674, 0.087409, 29.427830
0.399491, 0.099896, 32.306087
0.403298, 0.112383, 33.764161
0.414286, 0.124870, 31.154214
0.418414, 0.224765, 33.912668
0.437217, 0.124870, 33.161151
0.440314, 0.137356, 30.964961
0.441517, 0.212278, 34.196827
0.456373, 0.137356, 30.851336
0.464932, 0.199791, 34.429333
0.472331, 0.137356, 30.010498
0.472733, 0.162330, 30.836823
0.475137, 0.124870, 33.954808
0.480451, 0.174817, 30.980779
0.488614, 0.187304, 34.594505
0.489436, 0.212278, 31.275630
0.492527, 0.174817, 30.539214
0.497151, 0.149843, 30.376718
0.497484, 0.137356, 34.570981
0.506935, 0.174817, 29.428065
0.507097, 0.212278, 31.601048
0.508290, 0.149843, 30.568180
0.512527, 0.174817, 34.767280
0.512867, 0.162330, 32.273808
0.517526, 0.162330, 33.249303
0.522908, 0.162330, 33.484507
0.524926, 0.212278, 31.776348
0.528992, 0.162330, 33.086225
0.531680, 0.174817, 35.059879
0.535767, 0.162330, 30.839393
0.542907, 0.212278, 31.759183
0.544831, 0.174817, 30.932630
0.547134, 0.149843, 30.228363
0.550496, 0.187304, 30.500770
0.550894, 0.174817, 35.538018
0.551399, 0.174817, 32.174306
0.551399, 0.174817, 35.253438
0.554849, 0.199791, 31.450224
0.558606, 0.174817, 32.833321
0.558709, 0.149843, 29.865939
0.561024, 0.212278, 31.744040
0.570488, 0.199791, 32.412746
0.579265, 0.212278, 32.852998
0.581726, 0.162330, 32.937544
0.586393, 0.199791, 33.323630
0.587205, 0.237252, 33.195928
0.597480, 0.149843, 29.569448
0.597618, 0.212278, 34.298613
0.599299, 0.199791, 30.902494
0.605086, 0.174817, 32.589952
0.607952, 0.162330, 29.520142
0.612410, 0.212278, 33.925304
0.613807, 0.224765, 31.813277
0.616074, 0.212278, 35.909259
0.617654, 0.237252, 32.917047
0.618916, 0.224765, 34.727701
0.628657, 0.187304, 32.239886
0.633006, 0.237252, 33.819788
0.635497, 0.224765, 35.354703
0.636271, 0.174817, 29.776305
0.640963, 0.224765, 37.456429
0.643448, 0.237252, 35.851456
0.659419, 0.224765, 39.089900
0.660625, 0.237252, 36.297556
0.669760, 0.237252, 34.257079
0.675077, 0.199791, 29.979936
0.677957, 0.237252, 36.761824
0.685112, 0.237252, 34.848125
0.687570, 0.249739, 37.265648
0.697644, 0.237252, 32.568824
0.698023, 0.237252, 37.923439
0.700698, 0.237252, 35.194169
0.706192, 0.237252, 29.762019
0.713896, 0.199791, 29.919886
0.716504, 0.237252, 35.293599
0.721233, 0.224765, 33.234629
0.723292, 0.249739, 38.218203
0.724643, 0.262226, 32.748849
0.725567, 0.199791, 30.655864
0.727628, 0.237252, 30.232287
0.730052, 0.249739, 31.331421
0.732515, 0.237252, 35.211954
0.734512, 0.262226, 33.694747
0.741318, 0.249739, 38.557576
0.744985, 0.237252, 33.450286
0.748718, 0.262226, 34.951707
0.750895, 0.212278, 32.043929
0.752599, 0.262226, 34.762987
0.752619, 0.262226, 38.783359
0.752726, 0.249739, 30.814334
0.759063, 0.249739, 34.161255
0.763049, 0.212278, 33.301537
0.765100, 0.262226, 34.932142
0.766815, 0.262226, 34.480520
0.768887, 0.249739, 33.503964
0.769530, 0.249739, 34.197681
0.775528, 0.212278, 34.196074
0.775659, 0.224765, 34.688802
0.777658, 0.274713, 38.899094
0.777887, 0.237252, 31.638755
0.781285, 0.287200, 33.865273
0.781651, 0.262226, 34.880736
0.781694, 0.312174, 34.550684
0.791869, 0.324661, 34.296458
0.795960, 0.274713, 38.904283
0.795994, 0.287200, 33.383769
0.798360, 0.262226, 34.757980
0.803104, 0.249739, 32.152692
0.808447, 0.249739, 33.694087
0.809850, 0.349635, 34.021191
0.810929, 0.287200, 32.965398
0.812749, 0.412069, 37.701779
0.814341, 0.274713, 38.659527
0.814970, 0.249739, 32.587665
0.819260, 0.249739, 33.231686
0.820991, 0.362122, 33.887541
0.822027, 0.424556, 42.568301
0.823651, 0.274713, 34.729807
0.826079, 0.287200, 32.694963
0.826581, 0.262226, 38.317995
0.829940, 0.274713, 35.903034
0.836025, 0.387096, 37.713603
0.837555, 0.274713, 33.773234
0.839301, 0.362122, 33.821523
0.839451, 0.274713, 37.925542
0.844232, 0.237252, 32.680582
0.852132, 0.299687, 32.523127
0.852132, 0.449530, 42.858212
0.853690, 0.249739, 32.728620
0.854281, 0.349635, 42.391427
0.856975, 0.312174, 32.774251
0.857999, 0.374609, 37.944335
0.861435, 0.287200, 34.145001
0.864325, 0.349635, 33.840162
0.869268, 0.249739, 32.197210
0.872700, 0.312174, 33.163213
0.878185, 0.462017, 42.801331
0.879050, 0.262226, 32.875625
0.880195, 0.362122, 38.229465
0.882642, 0.349635, 33.960094
0.891409, 0.324661, 40.267500
0.893537, 0.462017, 42.860379
0.897642, 0.349635, 38.426338
0.898737, 0.324661, 33.522560
0.900271, 0.312174, 34.616689
0.901031, 0.349635, 34.265321
0.904449, 0.274713, 33.112586
0.909070, 0.462017, 42.826785
0.914619, 0.324661, 33.954066
0.916748, 0.274713, 33.556625
0.919487, 0.349635, 34.540812
0.919752, 0.337148, 38.530708
0.920872, 0.337148, 34.268254
0.921993, 0.287200, 32.188983
0.924301, 0.324661, 35.433460
0.924775, 0.462017, 42.703738
0.929316, 0.274713, 33.954176
0.931894, 0.337148, 34.857668
0.933205, 0.287200, 32.445308
0.933773, 0.324661, 36.230506
0.935381, 0.337148, 38.516557
0.937233, 0.362122, 34.336653
0.940643, 0.462017, 42.444513
0.942724, 0.312174, 34.832476
0.943574, 0.324661, 36.577000
0.950592, 0.337148, 35.243760
0.953694, 0.324661, 36.428517
0.953733, 0.362122, 34.401505
0.954452, 0.412069, 33.796510
0.954926, 0.287200, 34.250825
0.956666, 0.462017, 41.999757
0.958332, 0.299687, 32.643009
0.963187, 0.474504, 41.346125
0.968518, 0.324661, 35.359146
0.969343, 0.312174, 35.709955
0.969911, 0.337148, 35.982798
0.970364, 0.362122, 34.267190
0.972306, 0.412069, 33.613331
0.978333, 0.337148, 35.739388
0.979657, 0.474504, 40.487211
0.983036, 0.424556, 33.556713
0.983833, 0.337148, 36.428499
0.986299, 0.349635, 36.686375
0.986852, 0.362122, 36.506785
0.987120, 0.362122, 33.982719
0.988143, 0.312174, 36.131512
0.988906, 0.337148, 34.970921
0.994332, 0.412069, 33.695716
0.996257, 0.474504, 39.458332
0.997162, 0.299687, 32.846855
1.000793, 0.349635, 36.736911
1.001815, 0.374609, 36.813493
1.003995, 0.486991, 38.338836
1.012344, 0.499478, 37.238352
1.013753, 0.324661, 33.978908
1.015474, 0.349635, 36.532420
1.019315, 0.536939, 34.648401
1.021192, 0.374609, 37.065668
1.021290, 0.511965, 36.237483
1.022319, 0.312174, 33.032440
1.023805, 0.549426, 33.901249
1.028935, 0.561913, 33.142973
1.030333, 0.349635, 36.069510
1.038078, 0.462017, 32.511473
1.044752, 0.561913, 32.351708
1.045364, 0.349635, 35.451261
1.046919, 0.524452, 35.349952
1.047519, 0.299687, 33.328759
1.052658, 0.324661, 32.829142
1.060560, 0.349635, 34.835329
1.064350, 0.549426, 34.529842
1.073980, 0.462017, 33.998083
1.075912, 0.349635, 34.305262
1.081869, 0.549426, 33.897106
1.086319, 0.299687, 33.597572
1.091415, 0.349635, 33.804854
1.091711, 0.462017, 34.271058
1.099473, 0.549426, 33.295164
1.105650, 0.337148, 31.847166
1.107062, 0.349635, 33.217693
1.111540, 0.287200, 33.893215
1.117157, 0.549426, 32.793683
1.117157, 0.449530, 34.540353
1.121649, 0.374609, 33.373052
1.123353, 0.287200, 34.003782
1.130472, 0.349635, 31.413636
1.134919, 0.549426, 32.442050
1.135395, 0.287200, 33.868300
1.142631, 0.462017, 34.778169
1.144990, 0.636835, 30.248917
1.145353, 0.536939, 32.339181
1.147351, 0.387096, 33.005567
1.151771, 0.649322, 29.822866
1.160347, 0.462017, 35.028769
1.160523, 0.387096, 33.348361
1.160824, 0.299687, 33.574026
1.163371, 0.536939, 32.295914
1.168322, 0.649322, 29.427923
1.173888, 0.387096, 33.846020
1.178137, 0.462017, 35.171636
1.180817, 0.561913, 31.614693
1.181454, 0.536939, 32.269226
1.184979, 0.649322, 29.386716
1.186592, 0.699269, 30.544998
