nH (cm−3) 	vs (km s−1) 	H2O (per cent) 	H2 (per cent) 	CO (per cent) 	O (per cent) 	H (per cent) 	Total (per cent) 
20000		10 	1.9 	34.2 	17.0 	0.7 	0 	53.8 
20000	 	20 	11.0 	57.0 	4.9 	0.01 	0 	72.9 
20000 		30 	6.8 	72.7 	2.1 	0 	0 	81.6 
20000	 	40 	4.3 	80.6 	1.1 	0 	0 	86.1 
200000	 	10 	4.9 	26.2 	19.6 	0.1 	0 	50.8 
200000	 	20 	17.1 	48.8 	3.9 	0 	0 	69.8 
200000	 	30 	9.6 	69.3 	1.4 	0	0 	80.4 
200000	 	40 	5.9 	79.5 	0.7 	0 	0 	86.1 
20000	 	10 	3.2 	75.5 	6.8 	0 	0 	85.5 
20000	 	20 	15.0 	72.5 	9.0 	0.01 	0 	96.6 
20000	 	30 	18.7 	3.3 	0.8 	6.6 	41.1 	80.4 
200000	 	10 	5.7 	64.5 	3.6 	0 	0 	73.8 
200000	 	20 	50.7 	15.1 	5.8 	1.8 	0 	73.3 
200000	 	30 	23.3 	3.0 	0.1 	2.6 	48.2 	77.3 

